,sentence,sentence ID,paragraphID
849,the trash truck travel to the landfill.,4,431
850,unload all the trash the truck have collect.,5,431
851,trash be deposit in a large can or in bag outside of the house.,1,432
852,the trash be pick up by worker who put it on a garbage truck.,2,432
853,the garbage truck be drive to a sorting center.,3,432
854,the garbage be sort.,4,432
855,some of the garbage be save for recycling.,5,432
856,the rest of the garbage be drive to the landfill.,6,432
857,get some seed.,1,433
858,pick a spot to plant they.,2,433
859,dig a hole in the dirt.,3,433
860,put the seed in the hole.,4,433
861,pour some water on the seed and hold.,5,433
862,cover up the hole.,6,433
863,Press down on it.,7,433
864,spray some plant food on it.,8,433
865,you plant vegetable seed in the ground.,1,435
866,you water the seed.,2,435
867,you wait for the seed to sprout.,3,435
868,you keep the area free of pest and weed while the plant grow.,4,435
869,you thin out the plant a they get bigger to give they space to grow.,5,435
870,you remove the vegetable from the plant when they be ripe.,6,435
871,add water to a pot.,1,436
872,put the pot over a source of heat.,2,436
873,turn the heat on.,3,436
874,wait for a few minute.,4,436
875,begin to observe small bubble in the water.,5,436
876,wait until the water start to bubble a lot.,6,436
877,wait until you can see steam rise from the water.,7,436
878,turn the heat source off.,8,436
879,take the pot off of the heat source.,9,436
880,a the sweat evaporate the sweat shed molecule into the air.,1,441
881,the sweat change into a gas.,2,441
882,heat be draw from the sweat.,3,441
883,this process draw heat from the body.,4,441
884,the evaporation also cool the remain sweat on the body.,5,441
885,a bee visit a flower.,1,443
886,the pollen from that flower stick to the bee.,2,443
887,the bee fly to another flower of the same type.,3,443
888,the pollen that be stick to the bee get brush onto the pistil of the flower.,4,443
889,the flower be pollinate.,5,443
890,will begin to develop seed and fruit.,6,443
891,bee land on flower to gather nectar.,1,444
892,little hair on the bee leg attach to pollen sac from the staman of the flower.,2,444
893,"when the bee fly away, the pollen go with the bee.",3,444
894,the bee land on other flower.,4,444
895,the pollen sac be rub off onto the stigma of the new flower.,5,444
896,the magma come out from a volcano.,1,445
897,the magma cool and become a rock.,2,445
898,over time the rock pick up sediment which change the type of rock.,3,445
899,this create a sedimentary rock.,4,445
900,the heat from inside and outside can cook a rock.,5,445
901,this heat form a third kind of rock.,6,445
902,the cycle continue around the three type of rock.,7,445
903,rock begin a magma from a volcano.,1,446
904,the magma cool.,2,446
905,crystal form and the magma become igneous rock.,3,446
906,the igneous rock break down into sediment become sedimentary rock.,4,446
907,if subject to heat and / or pressure from plate - tectonic activity the sedimentary rock become metamorphic rock.,5,446
908,the metaphoric rock melt become magma again.,6,446
909,wind and water cause erosion and weathering to the rock.,1,448
910,"erode rock particle be carry away by wind or by rain, stream, river, and ocean.",2,448
911,rock particle sink to the bottom of river and ocean create a layer of sediment.,3,448
912,layer of sediment stack up compact the bottom layer.,4,448
913,mineral fill in the gap in the sediment eventuality become sedimentary rock.,5,448
914,rock bury deep underground expose to high heat and pressure become metamorphic rock.,6,448
915,metamorphic rock underground melt to become magma.,7,448
916,Magma flow from volcanoe in the form of lava.,8,448
917,lava cool and form igneous rock.,9,448
918,igneous rock begin be weather and erode by water and wind.,10,448
919,rock begin a magma from a volcano.,1,449
920,the magma cool.,2,449
921,crystal form and the magma become igneous rock.,3,449
922,the igneous rock break down into sediment.,4,449
923,become sedimentary rock.,5,449
924,if subject to heat and / or pressure from plate - tectonic activity the sedimentary rock become metamorphic rock.,6,449
925,the metamorphic rock melt.,7,449
926,become magma again.,8,449
927,human industry produce chemical compound.,1,458
928,Chemical compound rise into the air.,2,458
929,Chemical compound mix with element in cloud.,3,458
930,the affect rain fall to the earth.,4,458
931,the affect rain can harm natural and man-made object because of it acidic content.,5,458
932,chemical like sulfur dioxide and nitrogen be release into the air.,1,459
933,these substance rise into the high atmosphere.,2,459
934,they react with water and oxygen.,3,459
935,this create a more acidic rain.,4,459
936,the rain with the high acid content fall.,5,459
937,live thing have carbon in they.,1,460
938,live thing die.,2,460
939,the remains of living thing eventually become bury underground.,3,460
940,more physical pressure be put on the remains of live thing a they become further underground.,4,460
941,this carbon - base mixture stay underground for a long time.,5,460
942,human discover this carbon - base mixture.,6,460
943,this carbon - base mixture be bring up to the earth 's surface.,7,460
944,the recently discover fossil fuel be burn.,8,460
945,burn release the energy that have be store in the fossil fuel.,9,460
946,the energy can be use to generate power.,10,460
947,updraft in a thunderstorm carry raindrop upwards.,1,463
948,the raindrop condense onto dust or other small parti.,2,463
949,the supercool water molecule condense onto the condensation nucleu and freeze.,3,463
950,"the tiny ice particle keep move up and down, gather more ice on the surface.",4,463
951,eventually the hailstone fall to earth either because it be too heavy to remain aloft or because a drowndraft push it down.,5,463
952,Water get catch in wind that be move upward.,1,465
953,the water freeze.,2,465
954,the water start to fall.,3,465
955,the wind be strong enough from keep it from fall back to earth.,4,465
956,this pattern of rise and falling continue.,5,465
957,the hail become too large to be push up by the wind.,6,465
958,the hail finally fall to the ground.,7,465
959,Salt water be contain in a factory or plant.,1,466
960,the water be boil to a very high tempature.,2,466
961,the salt become separate from the water.,3,466
962,the sale be remove.,4,466
963,the water be able to be drank at this point.,5,466
964,the salt water be heat.,1,468
965,a the saltwater be heat the water become a gas.,2,468
966,the salt particle sink to the bottom of the container.,3,468
967,gaseous water be pipe into another container.,4,468
968,allow to cool.,5,468
969,the salt particle be leave behind in the first container.,6,468
970,the second container contain fresh water.,7,468
971,the organism must die to begin the process.,1,472
972,the soft tissue decompose.,2,472
973,the bone be leave behind.,3,472
974,scavenger tear the body apart and move the bone elsewhere.,4,472
975,wind and rain also scatter the bone further.,5,472
976,the bone leave behind will weather and become bury by sand and soil.,6,472
977,the protein in the bone be replace with mineral that be dissolve in the soil.,7,472
978,this create a rock - like substance call a fossil.,8,472
979,Water and wind erosion wear away the layer of soil on top of the fossil.,9,472
980,this make discovery of the fossil possible.,10,472
981,Suns heat enter atmosphere.,1,475
982,green house gas enter from the earth.,2,475
983,heat be trap in atmosphere.,3,475
984,different thing on earth be hotter.,4,475
985,the overall planet be hotter.,5,475
986,"human being burn fossil fuel ( oil, gas, etc. ).",1,476
987,carbon dioxide from the burn fossil fuel enter the atmosphere.,2,476
988,the make - up of the atmosphere change.,3,476
989,some energy from the sun can not escape back through the change atmosphere.,4,476
990,the earth begin to heat because of the extra trap energy.,5,476
991,human being cut down tree.,6,476
992,human being do not re-plant the tree.,7,476
993,tree can not help take the extra carbon dioxide from the atmosphere.,8,476
994,the extra trap energy start to change the earth 's short term weather.,9,476
995,eventually the long - term climate pattern start to change.,10,476
996,solar radiation reach Earth 's atmosphere.,1,478
997,some be reflect back into space.,2,478
998,"the rest of the energy be absorb by land and ocean, heating the Earth.",3,478
999,heat radiate from Earth to space.,4,478
1000,some of this heat be trap by greenhouse gas in the atmosphere.,5,478
1001,human activity such a burn fuel be increase the amount of greenhouse gas.,6,478
1002,this cause more heat radiation to stay trap in we atmosphere.,7,478
1003,the Earth 's temperature rise.,8,478
1004,sunlight hit chloroplast in the plant.,1,480
1005,the energy from the sunlight cause a enzyme in the plant to break apart the water.,2,480
1006,"the water breake into oxygen, hydrogen, and electron.",3,480
1007,"Hydrogen, along with electron energize by light, convert nadp into NADPH.",4,480
1008,oxygen diffuse out of the plant a a waste product of photosynthesis.,5,480
1009,sunlight strike the chlorophyll molecule in the plant.,1,482
1010,be trap.,2,482
1011,Plant also take in water and carbon dioxide from the environment.,3,482
1012,the plant form glucose.,4,482
1013,the plant release oxygen into the atmosphere.,5,482
1014,a utensil or computer be choose for wording.,1,483
1015,a paper be choose to write or type on.,2,483
1016,you write what you need to on the paper.,3,483
1017,put the paper in a evelop.,4,483
1018,find a stamp.,5,483
1019,find a post office or you own mail box.,6,483
1020,the letter be mail.,7,483
1021,choose what you want to write you letter on.,1,484
1022,think of what you want to say.,2,484
1023,write some nice thing !.,3,484
1024,place the letter into a envelope.,4,484
1025,put a stamp on the top right corner of the face of the envelope.,5,484
1026,write the address of the recipient on the envelope.,6,484
1027,put the envelope in you mailbox.,7,484
1028,"raise the flag on you mailbox, indicate to the mailman that you have outgoing mail.",8,484
1029,get some paper and pen.,1,485
1030,write the letter.,2,485
1031,fold the letter.,3,485
1032,insert in a envelope.,4,485
1033,seal the envelope.,5,485
1034,address the outside.,6,485
1035,put on a stamp.,7,485
1036,mail the letter.,8,485
1037,food be take into the mouth.,1,489
1038,the food be chew.,2,489
1039,saliva mix with the food and start break it down.,3,489
1040,the chew food travel down the esophagus to the stomach.,4,489
1041,the stomach secrete acid.,5,489
1042,grind and mix the food.,6,489
1043,the food move to the small intestine.,7,489
1044,the small intestine use enzyme to further break down the food.,8,489
1045,the food pas into the colon.,9,489
1046,the food be expel from the body.,10,489
1047,food be put into mouth.,1,490
1048,food be chew and mix with saliva ( spit ).,2,490
1049,food travel down the esophagus ( throat ).,3,490
1050,food travel into the stomach.,4,490
1051,Acid in the stomach break the food down further.,5,490
1052,food travel into the small intestine.,6,490
1053,nutrient from food be absorb into the blood stream.,7,490
1054,food travel into the large intestine.,8,490
1055,most of the remain material be now waste.,9,490
1056,the waste be eventually remove from the body.,10,490
1057,a animal eat a lot of food to fatten up.,1,493
1058,the animal find or build a suitable place to hibernate where they can stay warm and protect.,2,493
1059,the animal move into they den.,3,493
1060,they heart rate and breathing slow down to conserve energy.,4,493
1061,they emerge from the den when the weather be warm up again.,5,493
1062,"animal eat a lot during good ( warm, clear ) weather.",1,494
1063,animal gain weight.,2,494
1064,"the season change to one with bad ( cold, snowy ) weather.",3,494
1065,animal find a place to hibernate.,4,494
1066,"animal enter a type of "" sleep "" ( hibernation ).",5,494
1067,body process slow down.,6,494
1068,the animal 's heart rate and breathing rate slow.,7,494
1069,the animal lose weight more slowly than usual.,8,494
1070,the animal be able to survive not eat or drink without hurt itself.,9,494
1071,body temperature rise.,1,496
1072,the brain tell blood vessel to dilate.,2,496
1073,the sweat gland become active.,3,496
1074,moisture be release from the pore.,4,496
1075,the moisture evaporate.,5,496
1076,the evaporation cause cooling.,6,496
1077,battery be put in a flashlight.,1,499
1078,the flashlight be turn on.,2,499
1079,two contact strip touch one another.,3,499
1080,a circuit be complete between the battery and the lamp.,4,499
1081,the lamp in the flashlight begin to glow.,5,499
1082,the reflector in the flashlight direct the lamp 's beam.,6,499
1083,a straight beam of light be generate.,7,499
1084,the flashlight be turn off.,8,499
1085,the circuit be break.,9,499
1086,the beam be no longer visible.,10,499
1087,energy be create by burn either diesel or petrol in a combustion chamber.,1,502
1088,the energy be transfer from the piston move up and down at high speed.,2,502
1089,this piston motion be converted to a rotary motion through the crankshaft and axle.,3,502
1090,the axle turn the wheel.,4,502
1091,the car move forward.,5,502
1092,a car be fill with gasoline ( gas ).,1,503
1093,someone turn the car on with a key.,2,503
1094,the car 's battery produce a spark ( electricity ).,3,503
1095,the spark ignite the gas.,4,503
1096,the burn gas expand when it encounter air.,5,503
1097,the expand air and gas push a piston out.,6,503
1098,the motion of several piston move the crankshaft.,7,503
1099,different part of the car cause the motion in the crankshaft to cause the wheel to move.,8,503
1100,the wheel and the car 's body can move.,9,503
1101,fuel be inject into the chamber.,1,509
1102,the piston move upwards.,2,509
1103,compress the fuel.,3,509
1104,the fuel explode.,4,509
1105,Chemical energy become thermal energy.,5,509
1106,the explosion push the piston downward.,6,509
1107,the piston move upwards again.,7,509
1108,the spend fuel be eject.,8,509
1109,new fuel be inject.,9,509
1110,the cycle repeat.,10,509
1111,the moon orbit the earth.,1,511
1112,the earth orbit the sun.,2,511
1113,the moon come between the sun and the earth.,3,511
1114,the sun be totally block.,4,511
1115,a solar eclipse be occur.,5,511
1116,Snow fall in a area for a very long time.,1,514
1117,the snow build up for a very long time.,2,514
1118,the snow start to become pack very firmly.,3,514
1119,the snow become something that be more like ice.,4,514
1120,air pocket in the mass continue to grow smaller.,5,514
1121,the mass become solid and heavy enough to be call a glacier.,6,514
1122,the glacier move because of gravity.,7,514
1123,a frog lay egg in the water.,1,515
1124,tadpole develop inside of the egg.,2,515
1125,the egg hatch.,3,515
1126,the tadpole eat and grow.,4,515
1127,the tadpole grow leg and form into frog.,5,515
1128,the frog leave the water.,6,515
1129,a adult frog spawn egg in water.,1,516
1130,these egg hatch into tadpole and continue to live in the water.,2,516
1131,the tadpole grow develop external gill and a longer tail.,3,516
1132,the tadpole begin store food in the tail.,4,516
1133,the tadpole develop hind leg and life off food store in the it 's tail.,5,516
1134,the front leg appear and the tadpole 's tail shorten.,6,516
1135,the tadpole now look like a young frog.,7,516
1136,the young frog continue to grow to adulthood.,8,516
1137,the frog egg hatch.,1,517
1138,the tadpole break free.,2,517
1139,"slowly, the gill disappear over the next 6 week.",3,517
1140,the hind leg begin to form at 8 week.,4,517
1141,the front leg form at 12 week.,5,517
1142,the tail shrink.,6,517
1143,the mouth grow larger.,7,517
1144,the tadpole can live on land a a frog.,8,517
1145,a adult fish lay egg.,1,518
1146,the egg incubate for a few week or month before hatch.,2,518
1147,the young fish remain where they hatch until they be big enough to venture into the open water.,3,518
1148,the fish continue to grow.,4,518
1149,the fish reach adulthood.,5,518
1150,reproduce continue the cycle.,6,518
1151,Fish start a egg.,1,519
1152,the egg hatch.,2,519
1153,a larva emerge.,3,519
1154,the larva mature and grow.,4,519
1155,"the larva become a "" adolescent "" fish ( or fry ).",5,519
1156,the adolescent fish grow.,6,519
1157,"the fish might go through several sub-stage, depend on it specie or type.",7,519
1158,the fish be now a mature adult.,8,519
1159,the adult fish can lay more egg.,9,519
1160,a female fish lay egg.,1,520
1161,larva hatch from the egg.,2,520
1162,the larva eat and grow.,3,520
1163,the larva form into juvenile fish.,4,520
1164,the juvenile fish grow into adult fish.,5,520
1165,the adult fish mate.,6,520
1166,the female fish lay egg.,7,520
1167,two bird meet each other.,1,521
1168,Egg be produce after fertilziation.,2,521
1169,mother sit on egg until it hatch.,3,521
1170,bird hatch.,4,521
1171,grow up.,5,521
1172,flee the next.,6,521
1173,start family.,7,521
1174,die.,8,521
1175,a male and female bird mate.,1,522
1176,the female lay egg.,2,522
1177,"the egg be incubate by the parent, by sit on they, for week.",3,522
1178,the bird hatch from a egg.,4,522
1179,the parent feed they a the continue to grow.,5,522
1180,develop flight feather.,6,522
1181,the parent teach they to fly.,7,522
1182,after learn to fly they leave the nest to live on they own.,8,522
1183,the next year they breed begin the cycle again.,9,522
1184,a bird lay egg in a nest.,1,523
1185,the parent ( s ) incubate the egg.,2,523
1186,the egg hatch.,3,523
1187,the mother ( and sometimes the father ) bird take care of the baby bird.,4,523
1188,the baby bird grow up and get they flight feather.,5,523
1189,the young bird learn to fly and leave the nest.,6,523
1190,the adult bird find mate and mate.,7,523
1191,there be a fetus in the womb.,1,524
1192,they be bear and be a baby.,2,524
1193,the baby grow into a child.,3,524
1194,Puberty turn the child into a adolescent.,4,524
1195,the adolescent become a adult.,5,524
1196,a adult become a elderly person.,6,524
1197,the elderly person die.,7,524
1198,a man and woman mate.,1,525
1199,embryo be create.,2,525
1200,embryo grow and develop into a fetus inside the woman 's womb.,3,525
1201,the fetus be bear.,4,525
1202,begin to grow and develop through infancy and childhood.,5,525
1203,in the teenage year the human experience puberty.,6,525
1204,reach sexual maturity.,7,525
1205,at 18 the human become a adult.,8,525
1206,adult may procreate continue the cycle.,9,525
1207,human be bear a baby.,1,526
1208,Babies become infant.,2,526
1209,infant become child.,3,526
1210,Children learn skill.,4,526
1211,Children become teenager.,5,526
1212,teenager undergo puberty.,6,526
1213,teenager become adult.,7,526
1214,adult have child.,8,526
1215,adult become elderly.,9,526
1216,elderly human die.,10,526
1217,a male and female rabbit mate.,1,528
1218,the female rabbit become pregnant.,2,528
1219,baby rabbit form inside of the mother rabbit.,3,528
1220,the female rabbit give birth to a litter.,4,528
1221,the newborn rabbit grow up to become adult.,5,528
1222,the adult rabbit find mate.,6,528
1223,baby rabbit be bear alive.,1,529
1224,rabbit be ( only occasionally ) nurse by they mother.,2,529
1225,many of the baby do not survive.,3,529
1226,larger and stronger rabbit do manage to survive.,4,529
1227,rabbit quickly become able to have baby of they own.,5,529
1228,the rabbit lifecycle continue.,6,529
1229,the amount of rabbit stay reasonable because of predator and low survival rate for they young.,7,529
1230,plant start off a a seed.,1,530
1231,the seed germinate.,2,530
1232,the plant get nutrition from the environment.,3,530
1233,the plant grow from the nutrient.,4,530
1234,the plant produce flower.,5,530
1235,the flower produce fruit.,6,530
1236,the fruit release seed.,7,530
1237,the seed become new plant.,8,530
1238,the original plant die at some point.,9,530
1239,a seed or seed plant into the ground.,1,531
1240,the seed become a seeding and grow with water.,2,531
1241,the sun.,3,531
1242,the seeding grow into a mature plant.,4,531
1243,become a flower.,5,531
1244,the seed germinate.,1,532
1245,the plant grow.,2,532
1246,the plant flower.,3,532
1247,produce fruit.,4,532
1248,the fruit release seed.,5,532
1249,the plant die.,6,532
1250,a seed come from a adult tree.,1,533
1251,it sprout from the soil.,2,533
1252,"it grow into a small seedling, a tree 's infancy.",3,533
1253,"it grow bigger and become a sapling, a juvenile tree.",4,533
1254,"it reach maturity, this make take many year depend on the type of tree.",5,533
1255,the tree will begin to age and decline.,6,533
1256,eventually rot and decay after it die.,7,533
1257,a seed be plant.,1,534
1258,the seed become a small tree.,2,534
1259,the small tree become larger and grow.,3,534
1260,some tree bear fruit.,4,534
1261,Flowers.,5,534
1262,after awhile the tree will stop grow.,6,534
1263,eventually die.,7,534
1264,Blood be full of different waste.,1,536
1265,Blood travel through the body.,2,536
1266,the blood enter the kidney.,3,536
1267,the kidney filter the blood.,4,536
1268,the waste be separate.,5,536
1269,the urine contain the waste.,6,536
1270,the urine be expel from the body.,7,536
1271,they expand to take the air in.,1,539
1272,the cell of the lung hold the air.,2,539
1273,they take in the air and remove the oxygen.,3,539
1274,they inflate and all the bad air leave through the mouth.,4,539
1275,they do it all over again.,5,539
1276,you breathe in.,1,540
1277,diaphragm and other muscle expand to allow room for you lung to fill.,2,540
1278,the air flow into the narrow bronchiole in the lung.,3,540
1279,from the bronchiole to the alveolus.,4,540
1280,the oxygen enter into the bloodstream.,5,540
1281,be switch with the carbon dioxide in the bloodstream.,6,540
1282,the carbon dioxide enter through the alveolus.,7,540
1283,through the narrow bronchiole.,8,540
1284,into the lung.,9,540
1285,the carbon dioxide be exhale out of the body.,10,540
1286,waste build up in the blood.,1,542
1287,Blood enter the kidney.,2,542
1288,Blood pas through nephron in the kidney.,3,542
1289,different kind of waste be momentarily trap in the kidney.,4,542
1290,clean blood flow out of the kidney.,5,542
1291,filter waste accumulate in liquid form ( urine ).,6,542
1292,urine flow out of the kidney into the bladder.,7,542
1293,Blood be carry into the kidney by the renal artery.,1,543
1294,kidney filter that blood tiny filter inside the kidney call nephron.,2,543
1295,remove the waste from the blood.,3,543
1296,the waste that be collect combine with water to become urine.,4,543
1297,"a each kidney make urine, the urine slide down a long tube call the ureter.",5,543
1298,collect in the bladder.,6,543
1299,the filter blood be send back into the body.,7,543
1300,they take in fluid and liquid.,1,544
1301,they process the fluid.,2,544
1302,they take out the toxin.,3,544
1303,produce urine.,4,544
1304,urine be release.,5,544
1305,the nutrient be return to the body.,6,544
1306,fluid.,1,545
1307,waste enter the kidney.,2,545
1308,a processing moment in the kidney let waste and fluid pas.,3,545
1309,prevent larger molecule to pas.,4,545
1310,fluid go back to the bloodstream.,5,545
1311,bad waste be remove.,6,545
1312,the final product be turn into urine.,7,545
1313,the kidney receive blood from the renal artery.,1,546
1314,they process it with million of tiny nephron.,2,546
1315,remove all the waste.,3,546
1316,the kidney return the blood back to the body through the renal artery.,4,546
1317,send the urine with the waste to the bladder through the ureter.,5,546
1318,the kidney receive blood through the renal artery.,1,547
1319,the blood be pas through the nephron in the kidney.,2,547
1320,the kidney filter the waste from the blood.,3,547
1321,the clean blood be circulate out of the kidney.,4,547
1322,excess water and waste be expel from the kidney in the form of urine.,5,547
1323,the liver remove toxin from the blood.,1,548
1324,liver also clean blood that have just be enrich with vitamin and mineral during digestion.,2,548
1325,liver process the good stuff into form that the rest of the body can use.,3,548
1326,waste or stuff you body do not need can be carry by bile back into the intestine or into the kidney.,4,548
1327,the liver also produce a digestive juice call bile that help the body absorb fat into the bloodstream.,5,548
1328,the liver also store extra carbohydrate a glycogen for the body to use a fuel when need.,6,548
1329,Blood be send to the liver.,1,550
1330,the liver use chemical and protein to treat the blood.,2,550
1331,the blood be clean.,3,550
1332,energy be produce.,4,550
1333,the blood leave the liver clean.,5,550
1334,food.,1,551
1335,Water enter the body.,2,551
1336,bloodstream.,3,551
1337,food and water enter the pancrea.,4,551
1338,the pancrea break down carb.,5,551
1339,help digest other food and liquid.,6,551
1340,food enter the body.,1,552
1341,food begin to be process by the digestive system.,2,552
1342,the pancrea release enzyme to aid digestion.,3,552
1343,digest food affect the amount of sugar in the blood.,4,552
1344,the pancrea release one hormone to lower the blood sugar ( glucose ) level.,5,552
1345,the pancrea release another hormone to raisethe blood sugar ( glucose ) level.,6,552
1346,food enter the body.,1,555
1347,the food be break down.,2,555
1348,sugar from the food enter the bloodstream.,3,555
1349,Blood sugar must be within a particular range to avoid damage many organ.,4,555
1350,sometimes the brain tell the pancrea the blood sugar ( glucose ) be too low.,5,555
1351,the pancrea release glucagon to change the blood sugar to a better level.,6,555
1352,sometimes the brain tell the pancrea the blood sugar ( glucose ) be too high.,7,555
1353,the pancrea release insulin to change the blood sugar to a better level.,8,555
1354,sugar enter the body.,1,556
1355,bloodstream.,2,556
1356,the pancrea.,3,556
1357,insulin lower sugar level.,4,556
1358,Bloo sugar go back to normal.,5,556
1359,grape be grow.,1,557
1360,a selection of grape be gather.,2,557
1361,the grape be wash.,3,557
1362,the stem be remove from the grape.,4,557
1363,the grape be crush and add to a fermation container.,5,557
1364,yeast be add to the container.,6,557
1365,"the yeast eat the sugar in the yeast, release alcohol.",7,557
1366,Coal be heat in the boiler.,1,563
1367,the water tank over the boiler be heat.,2,563
1368,create steam.,3,563
1369,the steam be funnel to the piston.,4,563
1370,Piston use the steam a energy.,5,563
1371,the piston cause the crankshaft to move.,6,563
1372,Coal be load into the firebox.,1,565
1373,the boiler produce steam under high pressure.,2,565
1374,the steam generate in the boiler flow down into a cylinder.,3,565
1375,"just ahead of the wheel, push a tight - fitting plunger, the piston.",4,565
1376,the piston be connect to one or more of the locomotive 's wheel through a kind of arm-elbow - shoulder joint call a crank and connecting rod.,5,565
1377,"a the piston push, the crank and connect rod turn the locomotive 's wheel and power the train along.",6,565
1378,a outlet valve open and the piston push the steam back through the cylinder and out up the locomotive 's chimney.,7,565
1379,a airline reservation be make.,1,574
1380,the passenger arrive early at the airport.,2,574
1381,the luggage be check.,3,574
1382,the passenger wait in line.,4,574
1383,the passenger show they identification and get a boarding pas.,5,574
1384,the passenger go to they gate.,6,574
1385,the passenger get in line when it be time to board.,7,574
1386,the person board the plane.,8,574
1387,the plane arrive at the destination.,9,574
1388,the passenger get off the plane at they destination.,10,574
1389,"warm, moist air move from south to north.",1,582
1390,"cool, dry air move from north to south.",2,582
1391,the air mass meet.,3,582
1392,the condition that form be not stable because the air mass be so different.,4,582
1393,wind be direct in a certain way because of how the mass interact.,5,582
1394,a updraft result.,6,582
1395,wind start to form circular pattern in the updraft.,7,582
1396,a tornado can result.,8,582
1397,"warm, humid low - pressure air rise.",1,583
1398,create a strong updraft.,2,583
1399,"dry, cold high - pressure air be punch through.",3,583
1400,the opposing wind create rotation.,4,583
1401,when the rotation be violent enough a funnel form.,5,583
1402,drop to the ground.,6,583
1403,warm weather cause water to evaporate.,1,584
1404,the water rise up in the air.,2,584
1405,it start to cool down.,3,584
1406,the water start to condense.,4,584
1407,it form into cloud.,5,584
1408,when there be enough moisture in the cloud it start to rain.,6,584
1409,a butterfly start a a egg.,1,587
1410,the egg hatch.,2,587
1411,a larva emerge.,3,587
1412,the larva eat and grow.,4,587
1413,the larva shed it skin.,5,587
1414,the larva enter a chrysalis.,6,587
1415,the pupa grow inside the chrysalis.,7,587
1416,the adult butterfly exit the chrysalis.,8,587
1417,the adult butterfly be now fully grow.,9,587
1418,the adult butterfly lay more egg.,10,587
1419,a butterfly lay a egg.,1,588
1420,a larva mature inside of the egg.,2,588
1421,the caterpillar hatch from the egg.,3,588
1422,the caterpillar eat and grow.,4,588
1423,the caterpillar spin a coccoon around itself and form into a pupa.,5,588
1424,the butterfly form inside of the coccoon.,6,588
1425,the mature butterfly emerge from the coccoon.,7,588
1426,the butterfly mate.,8,588
1427,the female butterfly lay egg.,9,588
1428,egg.,1,589
1429,it lay on a leaf or plant.,2,589
1430,the egg hatch.,3,589
1431,the larva come out ( CATERPILLAR ).,4,589
1432,it begin to eat on the leaf that be be bear on.,5,589
1433,continue to eat to grow quickly.,6,589
1434,after it grow to full lenght it form into a pupa.,7,589
1435,undergo metamorphosis to become butterfly.,8,589
1436,after he butterfly be fomed it pump blood into it wing to gain strenght to be able to fly.,9,589
1437,TH EBUTTERLFY be fianlly able to fly away.,10,589
1438,fuel be converted to energy when air and petrol mix.,1,600
1439,the car engine burn the mix of air and petrol.,2,600
1440,hot gas from the burn push the piston.,3,600
1441,the result energy power the crankshaft.,4,600
1442,crankshaft power the gear.,5,600
1443,the gear make the wheel roll.,6,600
1444,acid rain be produce by chemical that reach into the atmosphere.,1,605
1445,Falls onto the ground.,2,605
1446,the acid rain start scour rock.,3,605
1447,destroy vegetation.,4,605
1448,the lack of vegetation alter the surround environment.,5,605
1449,acid rain leach aluminum from clay particle in soil.,1,607
1450,aluminum flow into stream and lake.,2,607
1451,acid rain dissolve mineral and nutrient in soil.,3,607
1452,wash they away so plant can not benefit from they.,4,607
1453,ph in soil and water get affect which can kill plant and animal.,5,607
1454,acid rain in fog at higher elevation can strip foliage off tree.,6,607
1455,fuel enter the engine through a carburetor or fuel injector.,1,608
1456,Air be let into the engine at the same time a the fuel.,2,608
1457,the piston in the engine move downwards compress the air and fuel mixture.,3,608
1458,a spark plug cause a spark at the bottom stroke of the piston.,4,608
1459,a explosion occur in the engine force the piston back upwards.,5,608
1460,a the piston go up the valf for fuel and air open again.,6,608
1461,"fuel and air go in, and the process repeat.",7,608
1462,the moving piston be attach via connect rod to a shaft.,8,608
1463,the shaft rotate out of the motor to turn the piston energy into rotational energy.,9,608
1464,"the piston start at the top, the intake valve open, and the piston move down to let the engine take in a cylinder - full of air and gasoline.",1,609
1465,then the piston move back up to compress this fuel / air mixture.,2,609
1466,Compression make the explosion more powerful.,3,609
1467,"when the piston reach the top of it stroke, the spark plug emit a spark to ignite the gasoline.",4,609
1468,"the gasoline charge in the cylinder explode, drive the piston down.",5,609
1469,"once the piston hit the bottom of it stroke, the exhaust valve open and the exhaust leave the cylinder to go out the tailpipe.",6,609
1470,fuel burn in the combustion chamber.,1,610
1471,the burn fuel create energy.,2,610
1472,the upward motion cause air to be release into the cylinder.,3,610
1473,the piston compress the air.,4,610
1474,a spark ignite the fuel and air inside the cylinder.,5,610
1475,the pressure push the piston down.,6,610
1476,the exhaust valve open.,7,610
1477,the piston push the air out of the cylinder.,8,610
1478,skin be cut or damage.,1,611
1479,bacteria enter through the wound.,2,611
1480,the bacteria reproduce and spread.,3,611
1481,cause symptom.,4,611
1482,the bacteria be either fight off or become a disease.,5,611
1483,kidney filter waste out of blood.,1,615
1484,composition of blood be regulate.,2,615
1485,volume of water in blood be keep constant.,3,615
1486,ph be keep at a constant level.,4,615
1487,kidney help regulate blood pressure.,5,615
1488,kidney stimulate the making of red blood cell.,6,615
1489,calcium level be maintain.,7,615
1490,waste product be deposit in the blood.,1,616
1491,Blood be carry to the kidney through the renal artery.,2,616
1492,the kidney contain filter inside.,3,616
1493,the filter capture the waste product.,4,616
1494,the waste be combine with water to make urine.,5,616
1495,the urine leave the kidney and be collect in the bladder.,6,616
1496,the clean blood be return to the body.,7,616
1497,the human body take a breath inward.,1,617
1498,Air be transport to the lung.,2,617
1499,"Air reach the alveolus, the smallest air sac in the lung.",3,617
