,keys,value
214,create,"{'1127, 2': 'A pocket of low pressure air is created near the surface of the ocean.', '1150, 1': 'A photovoltaic cell is created with two layers of semiconductor material.', '1184, 5': 'Electricty is created.', '1260, 5': 'A web is created.', '272, 4': 'A steady flow of electrons is created.', '502, 1': 'Energy is created by burning either diesel or petrol in a combustion chamber.', '525, 2': 'Embryo is created.', '693, 6': 'Acid rain is created when gasses such as sulfur dioxide get high into the atmosphere.', '826, 2': 'The heat created raises steam.', '828, 4': 'A the water boils steam is created.', '842, 5': 'Magnetic field gets created in the wire.', '900, 9': 'Nerve signals are created.'}"
215,create,"{'1081, 5': 'Creates electricity.', '1096, 2': 'This mass creates high core temperatures.', '1099, 4': 'The immune system creates antibodies to fight the virus or bacteria.', '1104, 2': 'Movement creates fissures.', '1112, 3': 'When rain goes into soil it creates an acid.', '1188, 5': 'The energy of the impact creates a hole on the planet.', '1224, 10': 'The generator creates electricity.', '367, 5': 'The plant creates food, called glucose, for itself.', '381, 6': 'The cell creates new viruses.', '396, 6': 'The spinning generator creates electricity.', '445, 4': 'This creates a sedimentary rock.', '459, 4': 'This creates a more acidic rain.', '472, 8': 'This creates a rock-like substance called a fossil.', '563, 3': 'Creates steam.', '583, 2': 'Creates a strong updraft.', '610, 2': 'The burning fuel creates energy.', '624, 4': 'The liver creates bile from the items filtered.', '626, 2': 'The pancreas creates juices that help digest food.', '64, 4': 'The water creates a stream.', '842, 1': 'Electromagnet creates magnetic field with electricity.', '844, 4': 'The electrical current creates a magnetic field around the wire, magnetizing the metal.'}"
216,create,"{'448, 3': 'Rock particles sink to the bottom of rivers and oceans creating a layer of sediment.', '852, 3': 'The burning coal heats water in a boiler, creating steam.'}"
217,crumble,"{'41, 7': 'The pressure and movement around the cracks causes the rocks to crumble in some places.', '80, 2': 'The rocks around the cracks crumble.'}"
218,crumple,"{'115, 2': 'The edges of the plates crumple up.'}"
219,crush,"{'1080, 3': 'The coal is crushed.', '391, 1': 'Coal is crushed.', '557, 5': 'The grapes are crushed and added to a fermation container.'}"
220,crystalize,"{'674, 4': 'Crystalized minerals cause the remains to harden.'}"
221,crystallize,"{'36, 6': 'The magma crystallizes.'}"
222,cut,"{'476, 6': 'Human beings cut down trees.', '611, 1': 'Skin is cut or damaged.', '731, 3': 'Through continuous erosion, a deep gash is cut through.'}"
223,cut,"{'22, 9': 'The eroded area cuts deeply into the rock.', '731, 2': 'Through erosion, the stream cuts into the soil and bedrock.'}"
224,damage,"{'298, 4': 'Those toxins damage your cells.', '693, 8': 'This rain is called acid rain and can damage forests and kill fish.'}"
225,damage,"{'1207, 5': ""It's time to begin regrowing damaged skin which is called reepithelialization."", '611, 1': 'Skin is cut or damaged.', '693, 5': 'It is getting damaged from air pollution such as methane gas from livestock and CFCs from spray cans.', '834, 7': 'The host gets sick as its cells are damaged.'}"
226,damage,"{'555, 4': 'Blood sugar must be within a particular range to avoid damaging many organs.'}"
227,decay,"{'725, 5': 'Alternatively the bones may completely decay leaving a cast of the organism.', '727, 7': 'The bones slowly decay.'}"
228,decaying,"{'1153, 7': 'The isotope is finished decaying and emitting radiation.', '667, 5': 'Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.'}"
229,decay,"{'1153, 4': 'The isotope decays.', '37, 5': 'As the bone decays mineral seeps in replacing it.'}"
230,decide,"{'1061, 1': 'You must decide the purpose of the satellite.'}"
231,decide,"{'1077, 1': 'The dna strand of a cell decides to replicate.'}"
232,decline,"{'533, 6': 'The tree will begin to age and decline.'}"
233,decode,"{'901, 5': 'The brain can decode the impulses into sound.'}"
234,decode,"{'409, 7': 'The brain decodes the impuses.'}"
235,decompose,"{'1032, 3': 'Soft tissues decompose.', '37, 3': 'Soft tissues quickly decompose leaving behind hard bones or shells.', '67, 7': 'The peat continues to decompose.', '675, 3': 'The remains decompose, leaving only trace amounts.', '725, 2': 'Soft tissues quickly decompose leaving the hard bones or shells behind.', '727, 3': 'The soft tissues quickly decompose.'}"
236,decompose,"{'472, 2': 'The soft tissue decomposes.', '996, 4': 'Waste decomposes.'}"
237,decrease,"{'1096, 3': 'The mass decreases.', '290, 6': 'The number of plants and animals decreases over time.'}"
238,deepening,"{'908, 3': 'The force of the pressure exerted on the rock surrounding it is enough to wedge the walls of the crack farther apart, thus expanding and deepening the crack.'}"
239,defecate,"{'253, 5': 'The animals defecate the seeds or drop them off their fur.'}"
240,defecated,"{'739, 5': 'Then eaten seeds are defecated out in other locations.'}"
241,defecate,"{'784, 4': 'The animal defecates.'}"
242,define,"{'1128, 5': 'If the pressure in the center drops even further and the winds really pick up and forms a clearly defined ""eye"" it\'s a hurricane.', '1202, 4': 'TMRNA molecules bind with the ribosome in a sequence defined by the mRNA code.'}"
243,deliver,"{'367, 6': ""The plant uses water to circulate the glucose around the plant to deliver the glucose to where it's needed."", '425, 5': 'The trucks deliver the gas to gas stations.', '794, 6': 'Vessels deliver oxygen to every cell in the body.'}"
244,deliver,"{'424, 3': 'The crude oil is delivered to an oil refinery.', '424, 6': 'The bottled oil is delivered to gas stations by trucks.', '873, 6': 'The gasoline is delivered to the gas station.'}"
245,deliver,"{'846, 1': 'Blood delivers oxygen in the body.'}"
246,deoxygenate,"{'1190, 10': 'The deoxygenated blood returns to the heart.'}"
247,depend,"{'519, 7': 'The fish might go through several sub-stages, depend on its species or type.'}"
248,depend,"{'1303, 4': 'Depending on the treatment this happens a few more times.', '533, 5': 'It reaches maturity, this make take many years depending on the type of tree.'}"
249,deplete,"{'896, 1': 'Oxygen-depleted blood enters the heart on the right atrium.'}"
250,deposit,"{'20, 5': 'The sediment is deposited at new locations by the wind or water.', '20, 8': 'The sediment is deposited again in a new place.', '432, 1': 'Trash is deposited in a large can or in bags outside of the house.', '616, 1': 'Waste products are deposited in the blood.', '737, 4': 'The seeds are dropped or deposited off.', '744, 4': 'The pollen is deposited in that area.', '78, 4': 'Sediment is deposited on the same spot many times.', '782, 6': 'The seeds get deposited on the ground.'}"
251,describe,"{'704, 3': ""You write a message describing what's on your mind.""}"
252,design,"{'1063, 2': 'A group of people work to design a satellite capable of accomplishing the need.'}"
253,design,"{'1063, 3': 'A team designs the physical structure of the satellite.'}"
254,desire,"{'1015, 2': 'Preheat the oven to desired baking temperature.', '1290, 5': 'Cook to desired color.'}"
255,destroy,"{'1142, 4': 'Those that survive have their habitat destroyed.', '1303, 3': 'The microbes that may proliferate in the food are destroyed.'}"
256,destroy,"{'364, 7': 'Nitrogen destroys fish and shellfish populations.', '605, 4': 'Destroys vegetation.'}"
257,detect,"{'411, 5': 'The neurons in these two retinal layers exhibit complex receptive fields that enable them to detect contrast changes within an image; these changes might indicate edges or shadows.'}"
258,detect,"{'626, 1': 'The pancreas detects chemical changes in the stomach.'}"
259,determine,"{'1016, 1': 'Determine the weather where you are going.', '1189, 6': 'The material it hits also helps determine the size of the crater.', '232, 6': ""Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.""}"
260,determined,"{'1063, 1': ""A satellite's need is determined.""}"
261,develop,"{'1128, 2': 'Under the right conditions it can develop further and start to spin around a low-pressure center.', '41, 5': 'The cracks continue to develop.', '443, 6': 'Will begin to develop seeds and fruit.', '515, 2': 'Tadpoles develop inside of the eggs.', '522, 6': 'Develop flight feathers.', '525, 5': 'Begins to grow and develop through infancy and childhood.', '649, 3': 'The sprouting will develop a root system.'}"
262,develop,"{'516, 3': 'The tadpoles grow developing external gills and a longer tail.'}"
263,develop,"{'1128, 3': 'If it develops it\'s classified as a ""tropical cyclone"" or ""tropical depression"".', '1314, 2': 'A shoot develops with a leaf.', '41, 1': 'The earth develops cracks deep beneath the surface.', '516, 5': ""The tadpole develops hind legs and lives off food stored in the it's tail."", '525, 3': ""Embryo grows and develops into a fetus inside the woman's womb."", '643, 5': 'The tadpole develops limbs.', '644, 4': 'The fetus grows and develops.', '99, 6': 'The area that receives little rain develops a very different ecosystem.'}"
264,die,"{'1032, 1': 'Most fossils formed when animals or plants die in wet environment.', '1143, 4': 'If the animals can not escape, they may die from smoke inhalation.', '1156, 1': 'Living organisms in the sea die.', '1218, 2': 'The trees die off.', '1219, 2': 'These plants die.', '365, 4': 'Fish and their eggs die.', '365, 5': 'Frogs and plants die.', '365, 6': 'Insects and other wildlife die.', '4, 1': 'Plants die.', '429, 7': 'Uneaten plants die.', '460, 2': 'Living things die.', '472, 1': 'The organism must die to begin the process.', '5, 1': 'Algae and plankton die.', '526, 10': 'Elderly humans die.', '534, 7': 'Eventually die.', '649, 6': 'The plant will die.', '654, 6': 'After a number of years the tree will grow old and die, becoming material for new growth.', '659, 4': 'When plants die, fungi and bacteria turn nitrogen back into ammonium through ammonification.', '660, 4': 'Plants and animals die.', '67, 1': 'Plants die.', '675, 1': 'Animals and plants die in soft soil or mud.', '69, 1': 'Plants and trees die.'}"
265,die,"{'1154, 1': 'Plants and animals long ago died.', '68, 1': '300 millions years ago plants and trees died.'}"
266,die,"{'1007, 1': 'A plant dies and withers.', '1008, 1': 'A plant dies.', '1031, 1': 'A plant or animal dies in mud or soil.', '1033, 1': 'An animal dies.', '1107, 9': 'The plant dies.', '37, 1': 'A plant of animal dies in a watery environment.', '38, 1': 'The animal dies and the body falls down.', '521, 8': 'Dies.', '524, 7': 'The elderly person dies.', '530, 9': 'The original plant dies at some point.', '532, 6': 'The plant dies.', '533, 7': 'Eventually rot and decay after it dies.', '647, 6': 'The plant dies.', '661, 7': 'When a plant or animal dies, decomposers like fungi and bacteria turn the nitrogen back into ammonium so it can reenter the nitrogen cycle.', '674, 1': 'An organism dies.', '676, 1': 'A plant dies.', '725, 1': 'Most fossils are formed when a plant or animal dies in a watery environment and is buried in mud and silt.', '726, 3': 'The animal dies.', '727, 1': 'An animal dies.'}"
267,diffuse,"{'480, 5': 'Oxygen diffuses out of the plant as a waste product of photosynthesis.', '618, 3': 'Oxygen diffuses from alveoli in the lungs to the bloodstream.', '618, 6': 'Oxygen diffuses into cells from capillaries.'}"
268,dig,"{'1083, 1': 'First you dig a whole.', '433, 3': 'Dig a hole in the dirt.', '977, 1': 'People dig up coal from the ground.'}"
269,digest,"{'551, 6': 'Helps digest other foods and liquids.', '626, 2': 'The pancreas creates juices that help digest food.', '627, 5': 'The enzymes help the intestines digest the food.'}"
270,digest,"{'254, 5': 'The seed is digested by the animal and excreted into a new area.', '552, 4': 'Digested food affects the amount of sugar in the blood.', '783, 4': 'The seeds are not digested.'}"
271,digest,"{'1216, 2': 'Your stomach digests the food.', '783, 3': 'The animal digests the fruit.'}"
272,dilate,"{'496, 2': 'The brain tells blood vessels to dilate.'}"
273,direct,"{'582, 5': 'Winds are directed in a certain way because of how the masses interact.'}"
274,direct,"{'1060, 4': 'The dishwasher directs water toward the dishes through jets.', '1060, 9': 'The dishwasher directs warm air toward the dishes to dry them.', '499, 6': ""The reflector in the flashlight directs the lamp's beam.""}"
275,disappear,"{'1169, 6': 'Two new nuclear membranes then form around each of the two regions of DNA and the spindle fibers disappear.', '517, 3': 'Slowly, the gills disappear over the next 6 weeks.'}"
276,disappear,"{'1007, 5': 'The resulting material disappears.'}"
277,disburse,"{'1030, 6': 'The warm air is disbursed through vents, hot water through baseboards, or by steam radiators.'}"
278,discover,"{'460, 6': 'Humans discover this carbon-based mixture.'}"
279,discover,"{'460, 8': 'The recently discovered fossil fuel is burned.'}"
280,disintegrate,"{'746, 4': 'The limestone will slowly disintegrate.'}"
281,disperse,"{'1095, 6': 'The gasses will start to disperse.'}"
282,disperse,"{'1064, 1': 'Spores are dispersed into the air by a mature mushroom.', '1217, 2': 'The seeds are dispersed by wind, animals, etc.'}"
283,dissipate,"{'349, 7': 'The sound continues to bounce off of things and produce echoes until it is totally absorbed or dissipated.'}"
284,dissolve,"{'1049, 3': 'As the acid is formed, the iron starts to dissolve.', '1112, 5': 'Some will dissolve enough to form caves.', '315, 3': 'The plant acids dissolve the rock.', '318, 4': 'The plant acids dissolve parts of the rock.', '76, 5': 'Minerals from the rocks in the sediment dissolve.'}"
285,dissolve,"{'1049, 5': 'The free oxygen and dissolved iron bond together.', '1113, 6': 'Caves form where the limestone was dissolved.', '472, 7': 'The proteins in the bone are replaced with minerals that are dissolved in the soil.', '617, 6': 'The dissolved oxygen is picked-up by red blood cells.', '674, 3': 'Minerals dissolved in the water form crystals.', '773, 5': 'Minerals dissolved in water crystlize.'}"
286,dissolve,"{'1033, 5': 'The skeleton dissolves.', '1112, 4': 'The acid dissolves the limestone along cracks.', '1113, 5': 'The water dissolves limestone.', '31, 7': 'The acid dissolves the limestone.', '607, 3': 'Acid rain dissolves minerals and nutrients in soil.', '617, 5': 'The gaseous oxygen in the air dissolves into the capillary blood.', '667, 8': 'This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.', '726, 9': 'The skeleton dissolves in the water.'}"
287,distribute,"{'941, 6': 'Red blood cells distribute oxygen throughout the body.'}"
288,divide,"{'1170, 9': 'Divide into two individual cells.', '300, 2': 'Bacteria start to divide and grow.'}"
289,divide,"{'411, 2': 'These cells convert light into electrochemical signals, and are divided into two types, rods.'}"
290,divide,"{'771, 3': 'The windpipe divides the air to the two lungs via the bronchial tubes.'}"
291,divide,"{'298, 3': 'The dividing bacteria begin to make toxins.'}"
292,do,"{'539, 5': 'They do it all over again.', '908, 7': 'When they do this their roots penetrate pores and crevices and cause rocks to split apart as the roots force their way down through the rocks.'}"
293,dock,"{'830, 2': 'The receptors will lock onto a target cell using these chemical receptors on the surface, which docks onto the cell surface.'}"
294,do,"{'1259, 3': 'The spider does this in several points.'}"
295,do,"{'1015, 8': 'When a toothpick inserted into the cake comes out clean, the cake is done baking.', '1265, 6': 'The nest is done.'}"
296,dope,"{'1150, 2': 'The top layer are ""doped"" with impurities to allow a negative charge.', '1150, 3': 'The bottom layer are ""doped"" to allow for a positive charge.'}"
297,drain,"{'1058, 5': 'The dirty water is drained.', '1058, 7': 'The water is drained again.', '1059, 7': 'Water is drained through a filter.'}"
298,drain,"{'1060, 6': 'The dirty water drains out.', '1060, 8': 'The water drains out again.', '667, 5': 'Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.'}"
299,drank,"{'466, 5': 'The water is able to be drank at this point.'}"
300,draw,"{'1007, 2': 'The dead plant starts to draw microbes.', '1061, 2': 'You must draw up a plan to what kind of orbit the satellite will travel.'}"
301,draw,"{'1258, 8': 'Anything that gets close to it, is drawn into it by its gravity.', '1258, 9': 'Light is drawn into it.', '441, 3': 'Heat is drawn from the sweat.', '772, 1': 'Air is drawn in through the mouth.'}"
302,draw,"{'441, 4': 'This process draws heat from the body.'}"
303,drift,"{'1213, 3': 'The chunk drifts into the sea.'}"
304,drink,"{'364, 5': 'The chemicals kill animals that drink the water.', '695, 6': 'When water ends up on land, it will either soak into the earth and become part of the ""ground water"" for animals or plants to drink.'}"
305,drinking,"{'494, 9': 'The animal is able to survive not eating or drinking without hurting itself.'}"
306,drip,"{'1295, 6': 'Drip into the second pot as fresh water.'}"
307,drip,"{'1294, 9': 'The coffee drips into the pot from the basket.'}"
308,drive,"{'1085, 10': 'Drive home.', '1085, 2': 'Drive to your campsite.', '1087, 2': 'Drive to your camping spot.', '825, 8': 'The turbines drive generators.'}"
309,drive,"{'432, 3': 'The garbage truck is driven to a sorting center.', '432, 6': 'The rest of the garbage is driven to the landfill.'}"
310,drive,"{'1224, 8': 'The steam drives a turbine.', '1224, 9': 'The turbine drives a generator.', '396, 4': 'The steam drives a turbine.', '430, 7': 'The truck drives to a landfill.', '629, 6': 'The truck drives to the landfill.', '821, 4': 'The steam drives a generator.'}"
311,driving,"{'609, 5': 'The gasoline charge in the cylinder explodes, driving the piston down.', '828, 10': 'The steam fills the next piston, driving it up, and the other one down.'}"
312,drop,"{'152, 6': 'Cloud droplets drop from the sky.', '214, 3': 'Animals drop some seeds onto the ground.', '253, 5': 'The animals defecate the seeds or drop them off their fur.', '681, 3': ""Over a period of days, the animal's heart rate and breathing rate drop slowly."", '99, 3': 'The rain clouds drop the rain.'}"
313,droplet,"{'14, 2': 'Water vapor forms droplets in clouds.', '152, 5': 'Cloud droplets aggregate into larger sizes.', '43, 8': 'Water forms droplets in the clouds.'}"
314,drop,"{'1028, 1': 'The thermostat senses that the temperature has dropped.', '737, 4': 'The seeds are dropped or deposited off.'}"
315,drop,"{'927, 4': 'Water begins flowing above the ground instead of dropping into the soil.'}"
316,drop,"{'1128, 5': 'If the pressure in the center drops even further and the winds really pick up and forms a clearly defined ""eye"" it\'s a hurricane.', '1137, 6': 'The owl silently glides or drops on its prey, grabbing it with its talons and beak.', '1294, 7': 'The water drops into the ground coffee.', '211, 4': 'Drops and ice particles get heavier.', '211, 5': 'Drops fall to the ground.', '211, 8': 'Ice reaches the ground as rain drops.', '583, 6': 'Drops to the ground.', '894, 1': 'The blood sugar drops in a body.', '948, 3': 'The water drops fall back to earth.'}"
317,dry,"{'1058, 8': 'The air is heated in the dishwasher to dry the dishes.', '1060, 9': 'The dishwasher directs warm air toward the dishes to dry them.', '1084, 3': 'Water the plant if it starts to dry out.', '731, 4': 'After many years the river may dry up.'}"
318,dub,"{'1128, 4': 'If the system strengthens and wind speeds rise past 39 mph, the system is dubbed a ""tropical storm"".'}"
319,dug,"{'825, 2': 'Uranium is dug up.'}"
320,dump,"{'916, 6': 'The sediment gets dumped through tributaries into lakes and the ocean.'}"
321,dump,"{'629, 7': 'The truck dumps the trash into the landfill.', '630, 6': 'The truck dumps the trash into the landfill.', '631, 7': 'The truck dumps its load into the landfill.'}"
322,eat,"{'1091, 6': 'Eat the cake.', '1136, 6': 'The owl uses their beak to eat the rodent.', '1143, 6': 'The animals have little to eat.', '1216, 1': 'You eat food.', '1310, 1': 'Squirrels try to eat as much as possible.', '214, 2': 'Animals eat the fruit.', '214, 4': 'Animals eat some seeds.', '253, 3': 'The animals eat the seeds.', '429, 5': 'Animals eat the plants.', '494, 1': 'Animals eat a lot during good (warm, clear) weather.', '515, 4': 'The tadpoles eat and grow.', '520, 3': 'The larvae eat and grow.', '589, 5': 'IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.', '589, 6': 'CONTINUES TO EAT TO GROW QUICKLY.', '640, 4': 'Fry eat and grow.', '660, 3': 'Animals eat the plants.', '744, 1': 'Bees land on flowers and eat the nectar of the plants.'}"
323,eat,"{'254, 4': 'The seeds are eaten by the animal or become attached to the fur.', '38, 2': 'It is not eaten by anything.', '739, 5': 'Then eaten seeds are defecated out in other locations.'}"
324,eating,"{'494, 9': 'The animal is able to survive not eating or drinking without hurting itself.'}"
325,eat,"{'113, 6': 'This mixture forms sugar (glucose) which is what the plant eats.', '1137, 7': 'The owl eats the prey, or carries it back to its perch.', '1214, 1': 'A person eats food.', '254, 3': ""Eats from the plant or brushes the plant with the animal's fur."", '493, 1': 'An animal eats a lot of food to fatten up.', '557, 7': 'The yeast eats the sugar in the yeast, releasing alcohol.', '587, 4': 'The larva eats and grows.', '588, 4': 'The caterpillar eats and grows.', '636, 3': 'Baby bird eats.', '656, 2': 'The caterpillar eats constantly until it grows bigger.', '681, 1': 'The animal eats large quantities of food that will be stored as fat.', '739, 3': 'The animal eats some fruit of the tree containing seeds.', '783, 2': 'An animal eats the fruit from a plant.', '784, 2': 'An animal eats the fruit.'}"
326,echo,"{'135, 7': 'The bat knows where the objects are because of where the sound echoed from.', '232, 5': 'The bat hears the echoed sound.'}"
327,echo,"{'135, 6': 'The bat hears the sound waves echoing off the objects.'}"
328,eject,"{'509, 8': 'The spent fuel is ejected.'}"
329,eliminate,"{'67, 8': 'The peat keeps carbon while eliminating other elements.'}"
330,emerge,"{'493, 5': 'They emerge from the den when the weather is warming up again.', '640, 3': 'Tiny fish called fry emerge.'}"
331,emerge,"{'519, 3': 'A larvae emerges.', '587, 3': 'A larva emerges.', '588, 7': 'The mature butterfly emerges from the coccoon.', '658, 7': 'The adult butterfly emerges out of the chrysalis and flys away!.'}"
332,emit,"{'1153, 3': 'The isotope emits radiation.', '1208, 4': 'Spark plug emits a spark that ignites it causing combustion.', '609, 4': 'When the piston reaches the top of its stroke, the spark plug emits a spark to ignite the gasoline.'}"
333,emit,"{'1153, 7': 'The isotope is finished decaying and emitting radiation.'}"
334,empty,"{'431, 3': 'The trashcan is emptied by a large trash truck.', '631, 4': 'Can gets emptied into trash truck.'}"
335,enable,"{'232, 6': ""Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves."", '411, 5': 'The neurons in these two retinal layers exhibit complex receptive fields that enable them to detect contrast changes within an image; these changes might indicate edges or shadows.'}"
336,encase,"{'725, 4': 'As the encased bones decay, minerals seep in replacing the organic material cell by cell in a process called ""petrification."".'}"
337,encode,"{'1202, 1': 'Information encoded in DNA is copied to a RNA molecule.'}"
338,encounter,"{'503, 5': 'The burning gas expands when it encounters air.'}"
339,end,"{'15, 5': 'Large amounts of water end up in bigger clouds as more water evaporates.', '5, 2': 'The dead algae and plankton end up part of sediment on a seafloor.', '67, 2': 'The dead plants end up in swamps.', '904, 5': 'Nerve fibers end in the lateral geniculate nucleus and the visual cortex.'}"
340,end,"{'1204, 8': 'When the ribosome sees the ""stop"" code, it ends the translation and the protein is complete.', '695, 6': 'When water ends up on land, it will either soak into the earth and become part of the ""ground water"" for animals or plants to drink.'}"
341,energize,"{'480, 4': 'Hydrogen, along with electrons energized by light, converts NADP into NADPH.'}"
342,engage,"{'1030, 3': 'When your oil burner is engaged, heating oil travels from the tank to the burner by way of a pump.'}"
343,enjoy,"{'1087, 8': 'Wake up and enjoy nature.', '1290, 6': 'Apply butter, syrup and enjoy.'}"
344,enrich,"{'548, 2': 'Liver also cleans blood that has just been enriched with vitamins and minerals during digestion.'}"
345,ensure,"{'287, 4': 'Ensure the tray is evenly filled to an appropriate level.'}"
346,enter,"{'1216, 3': 'Sugars from food enter your bloodstream.', '300, 1': 'Bacteria enter the body.', '412, 1': 'Sound waves enter your outer ear.', '423, 2': 'Miners enter the mine.', '475, 2': 'Green house gases enter from the earth.', '476, 2': 'Carbon dioxide from the burning fossil fuels enter the atmosphere.', '494, 5': 'Animals enter a type of ""sleep"" (hibernation).', '551, 2': 'Water enter the body.', '551, 4': 'Food and water enter the pancreas.', '555, 3': 'Sugars from the food enter the bloodstream.'}"
347,enter,"{'1203, 1': 'Proteins are entered into a phase called transcription.', '1226, 1': 'Food is entered into the gut.', '681, 5': 'The animal has entered hibernation mode.'}"
348,enter,"{'410, 3': 'The pupil within the iris expands or contracts to control the amount of light entering the eye.'}"
349,enter,"{'112, 1': 'Carbon dioxide enters the leaf through the stomates.', '113, 4': 'Carbon dioxide enters the leaf.', '1150, 5': 'Sunlight enters the cell.', '1188, 3': ""The comet enters the planet's atmosphere."", '1190, 2': 'The blood enters the right atrium.', '1190, 7': 'Oxygenated blood enters the left atrium.', '1197, 1': 'Food enters the mouth.', '1202, 6': 'The process continues until one of the stop codons enters the A site.', '1299, 1': 'Blood enters the kidney.', '139, 1': 'Air enters the nose or mouth and travels through the windpipe into the lungs.', '165, 1': 'Food leaves the esophagus and enters the stomach.', '290, 1': 'Pollution enters natural water sources such as rivers and lakes.', '310, 1': 'Blood enters the right side of your heart.', '366, 1': 'Acid rain enters the atmosphere and lands.', '375, 1': 'Electricity enters the computer.', '382, 1': 'Bacteria enters the body.', '384, 2': 'The virus enters the human or animal body.', '388, 2': 'Enters the dam at high pressure.', '409, 1': 'Light enters the eyes.', '475, 1': 'Suns heat enters atmosphere.', '536, 3': 'The blood enters the kidneys.', '540, 5': 'The oxygen enters into the bloodstream.', '540, 7': 'The carbon dioxide enters through the alveoli.', '542, 2': 'Blood enters the kidney.', '545, 2': 'Waste enters the kidneys.', '552, 1': 'Food enters the body.', '555, 1': 'Food enters the body.', '556, 1': 'Sugar enters the body.', '587, 6': 'The larva enters a chrysalis.', '608, 1': 'Fuel enters the engine through a carburetor or fuel injectors.', '611, 2': 'Bacteria enters through the wound.', '619, 1': 'Oxygen enters the body through the mouth or nose.', '627, 1': 'Food enters the small intestine.', '634, 1': 'Electricity enters the power supply unit.', '720, 1': 'Sunlight enters the atmosphere.', '770, 2': 'Air enters bronchial tubes.', '772, 5': 'The remaining oxygen enters the body.', '794, 1': 'Air enters the lungs through bronchial tubes.', '794, 2': 'Air enters bronchioles.', '834, 1': 'A virus enters a host body.', '834, 3': 'The virus enters the cell.', '896, 1': 'Oxygen-depleted blood enters the heart on the right atrium.', '900, 6': 'The sound enters the liquid-filled cochlea.', '901, 1': 'Sound enters the ears of a person.', '903, 1': 'Visible light enters through the lens.', '903, 2': 'The light enters into the retina.', '924, 2': 'The air enters the mouth and nose.', '940, 1': 'Carbon dioxide enters the leaves through the stomates by diffusion.', '942, 2': 'Enters the lungs.', '949, 2': 'The water vapor enters the atmosphere.', '977, 4': 'Coal pollution enters clouds.'}"
350,entrain,"{'915, 2': 'The movement is due to a combination of gravity acting on the sediment, and/or the movement of the fluid in which the sediment is entrained.'}"
351,erode,"{'31, 8': 'Acid continues to erode the limestone with more rain over time.', '61, 5': 'The rocks erode slowly.', '61, 8': 'The rocks continue to erode into smaller rocks.', '64, 7': 'The soil and rocks erode where the stream touches them.', '78, 1': 'Wind and water erode rocks.', '936, 3': 'The sediment can help erode land like sandpaper.'}"
352,erode,"{'22, 9': 'The eroded area cuts deeply into the rock.', '31, 9': 'The eroded limestone sometimes forms caves.', '448, 10': 'Igneous rock begins being weathered and eroded by water and wind.', '448, 2': 'Eroded rock particles are carried away by wind or by rain, streams, rivers, and oceans.', '64, 9': 'The stream is smaller than the eroded area.'}"
353,erode,"{'1114, 4': 'The bedrock erodes after much time passes.', '22, 8': 'The river erodes the rocky area that it touches.', '676, 6': 'The rock erodes.'}"
354,erupt,"{'1104, 4': 'Fissures allow lava to erupt into volcanoes at the surface.', '1104, 5': 'Volcanoes erupt, accumulating lava, forming mountains.', '116, 2': 'These volcanoes erupt.', '80, 7': 'The volcanos erupt many times.'}"
355,erupt,"{'775, 4': ""When magma erupts onto Earth's surface, it is known as lava."", '930, 4': 'The magma under pressure erupts through that point.'}"
356,escape,"{'1053, 4': 'The heat cannot escape the glass.', '1143, 4': 'If the animals can not escape, they may die from smoke inhalation.', '1258, 10': 'Light can not escape.', '1258, 7': 'The gravity becomes so powerful that nothing can escape it.', '127, 4': 'These molecules escape from the water.', '476, 4': 'Some energy from the sun cannot escape back through the changed atmosphere.', '830, 7': 'The copies infect other cells to make more viruses, or they escape from the body and infect a new victim.'}"
357,escape,"{'660, 9': 'Nitrogen gas escapes from soil into the atmosphere.'}"
358,evaporate,"{'1132, 3': 'The bees evaporate the nectar by passing it back and forth to each other.', '584, 1': 'Warm weather causes water to evaporate.', '697, 1': 'Water beings to evaporate from bodies of water.', '947, 6': 'Fallen rain or snow collects into surface water which will evaporate into water vapor again.'}"
359,evaporate,"{'666, 4': 'The evaporated water condenses on a cold surface.', '666, 5': 'The evaporated water is collected.', '671, 7': 'When all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind.', '808, 6': 'Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.', '948, 2': 'The evaporated water condenses into water drops.'}"
